,k_cluster,count,Recency,Frequency,Monetary
0,0,4480,273.54598214285716,1.0,75.64151785714286
1,1,747,163.2516733601071,2.175368139223561,224.1392235609103
2,2,391,184.5473145780051,1.1636828644501278,722.9002557544757
3,3,4157,82.76689920615829,1.0,69.36781332691845
